,Price
0,14.684709682304579
1,11.617285480294472
2,14.240778293368619
3,14.316285845876763
4,14.176675407175859
5,15.163583706263967
6,14.180153671552183
7,14.169682371684887
8,14.790070197962406
9,15.02447090380125
10,14.978661367769956
11,14.503645196700676
12,12.128111104060462
13,13.732128949025222
14,14.827111469642754
15,13.955272500339433
16,13.721199878493033
17,15.973069878908062
18,14.301018373745976
19,14.557447902693651
20,13.779883380321124
21,13.641157170819497
22,14.210925330218936
23,12.89921982609012
24,14.501129472103427
25,14.709555680891109
26,14.122995257712235
27,14.725783217512866
28,15.146556444853687
29,14.214286677921642
30,14.183619879528669
31,14.217636764806924
32,14.411596025681089
33,15.082458161451598
34,14.648419680899378
35,14.690979295318174
36,14.686803923907693
37,14.151982794585487
38,14.111904571018076
39,14.217636764806924
40,14.006130917572923
41,13.345506928718539
42,14.375126345899696
43,14.141210697603576
44,14.446782334806132
45,14.914122846632385
46,13.112313041550827
47,14.493544100714171
48,13.972514306773938
49,14.907433858481587
50,13.840203170554645
51,13.279367126213993
52,13.946538820370678
53,14.253765488895429
54,14.010254634756786
55,14.63308531689927
56,14.690979295318174
57,14.669925886120343
58,14.227620208791107
59,13.769466619462868
60,14.929011459126134
61,15.022977251544466
62,14.624216079158492
63,15.022977251544466
64,14.166167429577444
65,14.422555039470808
66,13.704578997256993
67,15.464169183551656
68,13.458835614025542
69,14.357834848789636
70,14.316285845876763
71,14.4884550312067
72,13.38472764187182
73,14.841552153797549
74,12.429216196844383
75,14.77102200299171
76,14.058456736574664
77,15.424948470398375
78,14.304090572782945
79,15.978833583624812
80,14.077874822431765
81,15.163583706263967
82,16.44739939810092
83,14.360737608447597
84,15.03928598958639
85,15.348067426062418
86,14.817978986079481
87,14.444119217386648
88,13.567049198665774
89,13.721199878493033
90,13.764217263576723
91,14.22097566607244
92,14.22097566607244
93,14.187074114396758
94,13.737549016494562
95,14.282384294201082
96,13.38472764187182
97,14.808762330974558
98,14.92242164944708
99,13.681979165339751
100,14.690979295318174
101,14.360737608447597
102,14.962913010801817
103,13.399995114002609
104,14.741751620691597
105,14.92242164944708
106,17.35065591213617
107,17.43985149094064
108,14.603967918328545
109,15.225277275269306
110,14.187074114396758
111,14.975531474761027
112,13.493926933836812
113,14.28551418721001
114,15.009433026436708
115,14.0225247273486
116,13.704578997256993
117,12.89921982609012
118,16.811242831518264
119,14.729799287167756
120,15.016980232072092
121,14.375126345899696
122,14.253765488895429
123,13.217673557208654
124,14.346138809026444
125,16.25785759333348
126,14.723769118141165
127,15.02447090380125
128,15.003353980360327
129,13.422467969854667
130,12.971540487669746
131,14.444119217386648
132,14.038654109278484
133,15.02447090380125
134,14.346138809026444
135,14.626440774180603
136,13.864300722133706
137,15.250595083253597
138,13.840203170554645
139,16.60667566577699
140,14.297936707208567
141,13.217673557208654
142,13.399995114002609
143,13.353475098367715
144,14.769097074582126
145,12.821258284620408
146,14.297936707208567
147,15.038991828678252
148,13.541073712262515
149,13.262125319779487
150,13.835313185260453
151,13.180632285528304
152,14.723769118141165
153,12.983101310070822
154,14.130321297804308
155,13.901688254205327
156,14.237504968023648
157,14.334304351379442
158,14.077874822431765
159,13.554145793829866
160,13.840203170554645
161,13.527828485512494
162,14.805051751578022
163,15.007916725918745
164,14.721750953984929
165,14.53335035111459
166,14.438771611060053
167,13.38472764187182
168,14.646243401476783
169,15.319587954740548
170,14.905754596961867
171,14.573977204644862
172,14.75160391713461
173,14.346138809026444
174,13.560618308335483
175,13.681979165339751
176,14.115615150414612
177,14.545471711646936
178,14.034646087880946
179,13.864300722133706
180,12.072541252905651
181,13.304684934198283
182,13.017002861746503
183,14.301018373745976
184,13.955272500339433
185,12.983101310070822
186,13.933293593620657
187,15.009433026436708
188,13.541073712262515
189,14.637490610367188
190,14.346138809026444
191,14.357834848789636
192,14.006130917572923
193,14.669925886120343
194,14.360737608447597
195,14.48333993053993
196,14.430696197054507
197,14.602148081611558
198,15.555976732804778
199,13.704578997256993
200,14.237504968023648
201,14.557447902693651
202,15.373655176010823
203,14.578650110344254
204,14.970818190308929
205,14.09692301740246
206,13.36138027787483
207,14.585618779660347
208,14.48333993053993
209,13.989463865087712
210,13.892471599100402
211,16.300417207752275
212,14.615267473582477
213,13.560618308335483
214,13.710150042306449
215,14.648419680899378
216,14.210925330218936
217,13.345506928718539
218,13.753635154246187
219,15.201804919084164
220,15.201804919084164
221,15.538277155705378
222,14.859314610137389
223,14.743729860703702
224,14.17318500223609
225,15.501909511534503
226,14.690979295318174
227,15.176487111099874
228,14.217636764806924
229,13.693342923990066
230,13.253391639810733
231,15.830413578506539
232,13.698976741708323
233,13.997832114758229
234,14.240778293368619
235,16.67771143889374
236,13.270783382522602
237,12.706847933442663
238,14.53335035111459
239,14.360737608447597
240,13.710150042306449
241,14.485900751401603
242,14.111160800065232
243,14.28551418721001
244,14.790070197962406
245,14.038654109278484
246,14.346138809026444
247,12.821258284620408
248,13.704578997256993
249,13.262125319779487
250,14.28551418721001
251,14.678400513111313
252,14.545471711646936
253,14.569282360340654
254,14.669925886120343
255,14.71159858252091
256,15.066843933650048
257,15.671808548329901
258,14.626440774180603
259,14.690979295318174
260,13.560618308335483
261,14.53335035111459
262,13.710150042306449
263,14.253765488895429
264,14.808762330974558
265,15.079637285109957
266,13.864300722133706
267,13.337474757021274
268,13.617059619240436
269,13.710150042306449
270,15.150511624696614
271,14.557447902693651
272,14.074021253115776
273,13.304684934198283
274,15.747031969567487
275,15.150511624696614
276,13.217673557208654
277,13.329377546788654
278,14.74767463899472
279,13.526494262499357
280,15.319587954740548
281,14.790070197962406
282,15.343738414972831
283,13.933293593620657
284,14.133964289082808
285,15.394489262913666
286,15.110237725558674
287,14.619751786029806
288,14.394928973195876
289,13.795307850646754
290,14.659230597003594
291,13.892471599100402
292,14.316285845876763
293,14.808762330974558
294,13.864300722133706
295,13.112313041550827
296,14.294845514638894
297,14.093142294562554
298,13.500799813124575
299,15.38412647587812
300,14.880221294956703
301,13.764217263576723
302,14.316285845876763
303,14.657077743642493
304,14.601692604491408
305,13.407542319637992
306,14.871563232213587
307,14.411596025681089
308,13.805460222110773
309,14.266586177324491
310,14.346138809026444
311,15.201804919084164
312,14.506154608306101
313,14.924073177485552
314,15.201804919084164
315,14.085537695177335
316,14.690979295318174
317,13.997832114758229
318,14.648419680899378
319,13.670484785914017
320,14.626440774180603
321,14.360737608447597
322,13.9108207377686
323,14.169682371684887
324,14.077874822431765
325,14.430696197054507
326,14.151982794585487
327,14.363631966473962
328,14.946912669455374
329,14.403297222866392
330,15.330637790927133
331,14.626440774180603
332,14.98644350821201
333,14.862829552244833
334,13.36138027787483
335,14.603967918328545
336,15.176487111099874
337,13.422467969854667
338,15.111606651166015
339,15.009433026436708
340,13.989463865087712
341,15.363073066680286
342,14.187074114396758
343,13.790192749979985
344,14.28551418721001
345,13.764217263576723
346,13.58609739363647
347,14.115615150414612
348,14.430696197054507
349,14.569282360340654
350,14.375126345899696
351,14.7862894751225
352,14.873300852112129
353,14.914122846632385
354,11.982929094215963
355,13.38472764187182
356,13.060487973686241
357,13.38472764187182
358,14.214286677921642
359,13.45166712454693
360,16.90655301132259
361,15.02447090380125
362,14.580978400103845
363,14.545471711646936
364,15.033386267459202
365,16.44739939810092
366,13.721199878493033
367,14.187074114396758
368,14.28551418721001
369,14.27293540500315
370,14.457364444136669
371,13.527828485512494
372,13.38472764187182
373,15.03928598958639
374,13.112313041550827
375,13.617059619240436
376,13.060487973686241
377,13.415032991367148
378,15.687312734865866
379,13.815510557964274
380,14.316285845876763
381,14.430696197054507
382,14.304090572782945
383,14.457364444136669
384,15.830413578506539
385,15.189226136877304
386,16.556350581889475
387,13.883169206438088
388,15.150511624696614
389,15.967272761223736
390,13.304684934198283
391,13.422467969854667
392,14.115615150414612
393,13.217673557208654
394,14.827111469642754
395,14.077874822431765
396,14.038654109278484
397,15.424948470398375
398,14.334304351379442
399,14.291744736960645
400,13.42984807715229
401,14.690979295318174
402,14.73180128983843
403,14.346138809026444
404,14.603967918328545
405,15.082458161451598
406,14.48333993053993
407,16.213405830762646
408,16.34123920227253
409,16.349207371921707
410,15.319587954740548
411,14.690979295318174
412,14.978661367769956
413,14.269765830241871
414,15.830413578506539
415,13.579788224443204
416,15.789591583986283
417,14.73180128983843
418,13.901688254205327
419,14.360737608447597
420,14.141210697603576
421,15.031905882288767
422,14.557447902693651
423,14.22097566607244
424,15.03928598958639
425,14.661378825541883
426,14.53335035111459
427,14.77102200299171
428,14.22097566607244
429,14.343193298796688
430,14.316285845876763
431,14.204168547756057
432,14.73180128983843
433,14.721750953984929
434,16.300417207752275
435,14.641876582310442
436,13.422467969854667
437,14.269765830241871
438,15.082458161451598
439,13.9108207377686
440,13.753635154246187
441,14.52354635101797
442,14.808762330974558
443,13.473020249017498
444,14.690979295318174
445,14.325335681396682
446,17.24949776244942
447,14.914122846632385
448,13.592367006650065
449,13.993656743347747
450,14.457364444136669
451,15.03928598958639
452,14.845129975145433
453,14.038654109278484
454,13.091904169919621
455,14.75160391713461
456,14.626440774180603
457,14.590237725516642
458,14.790070197962406
459,14.603967918328545
460,14.71159858252091
461,13.968231644981937
462,14.73180128983843
463,14.141210697603576
464,15.208035468834801
465,13.764217263576723
466,15.263605319989612
467,13.864300722133706
468,13.81049801614073
469,13.972514306773938
470,14.648419680899378
471,13.742939865129438
472,14.690979295318174
473,15.053884789007542
474,14.279244574196415
475,14.304090572782945
476,13.226723392728571
477,14.093142294562554
478,13.815510557964274
479,13.235692062711331
480,15.082458161451598
481,14.093142294562554
482,14.521080258522776
483,13.122363377404328
484,13.592367006650065
485,14.644062375530423
486,14.695137305466838
487,14.690979295318174
488,15.009433026436708
489,14.790070197962406
490,15.283384906076588
491,12.691580461311874
492,14.63308531689927
493,14.644062375530423
494,14.71159858252091
495,14.615267473582477
496,14.580978400103845
497,14.646243401476783
498,14.576316386998034
499,14.48333993053993
500,14.659230597003594
501,13.835313185260453
502,14.690979295318174
503,14.319311566793301
504,13.415032991367148
505,14.403297222866392
506,14.56219850545225
507,15.022977251544466
508,14.827111469642754
509,14.340239086899256
510,13.676248490630767
511,13.337474757021274
512,14.547878451677501
513,14.346138809026444
514,14.151982794585487
515,13.704578997256993
516,14.767168433675721
517,14.03062193758122
518,14.626440774180603
519,13.592367006650065
520,13.968231644981937
521,15.02447090380125
522,16.25785759333348
523,13.573438996764546
524,15.86963429165982
525,13.458835614025542
526,14.897315728316002
527,15.046612029678462
528,14.28551418721001
529,14.53335035111459
530,14.501129472103427
531,13.652991628466498
532,12.254862809699606
533,14.475617884446018
534,14.644062375530423
535,13.142166004700508
536,13.710150042306449
537,12.736700896592344
538,13.933293593620657
539,13.845069360205818
540,13.681979165339751
541,12.80765263256463
542,14.403297222866392
543,14.470436525704022
544,14.180153671552183
545,14.71159858252091
546,15.214227439082721
547,13.304684934198283
548,14.75160391713461
549,14.301018373745976
550,14.977097645793773
551,14.77102200299171
552,13.976778705560397
553,14.827111469642754
554,15.383084266299676
555,14.690979295318174
556,14.430696197054507
557,14.151982794585487
